uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"b48ed8a6-f2a9-43bf-b522-3ff151955790","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03608","1","ok","single bole tree","Live",11.6,130,"noChange",9.6,,,,3.9,3.5,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"16c602fd-675e-43e0-9f78-106eccdb3a64","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00029","1","ok","single bole tree","Dead, broken bole",40.0,130,"noChange",2.2,,2.2,21.1,,,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"29362ffa-cd58-4bcb-99da-4b4a14d35fc7","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.02845","1","ok","single bole tree","Live",12.8,138,"noChange",9.5,,,,4.1,4.0,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"c63a3158-c02e-41af-bc46-9452a0fccf9d","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.01828","1","ok","small shrub","Live",,,"noChange",0.5,0.3,,,0.5,0.3,"Partially shaded","ellipsoid or sphere",1.2,10,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"ace377c9-314c-4328-b7e5-7bc6af85bcf4","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.01826","1","ok","sapling","Live",,,"noChange",1.1,,,,,,"Partially shaded",,1.3,10,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"70221a46-1a3b-4f63-a067-1fe2ebc33dbc","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03081","1","ok","single shrub","Live",1.6,130,"noChange",4.3,1.9,,,3.5,1.7,"Full shade","ellipsoid or sphere",2.1,10,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"1c881c1e-9b5e-423c-8743-fda9ed0b3d3a","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.01983","1","ok","single bole tree","Live",14.2,130,"noChange",8.2,,,,5.1,5.0,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"deffd5b4-13e7-4b10-a50a-ef14054a2c50","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.07468","1","ok","single bole tree","Live",10.8,140,"noChange",8.1,,,,3.5,3.4,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"21f90060-103e-47cd-a260-1951ea43bb91","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00032","2","ok","small tree","Standing dead",4.2,130,"noChange",,,,,,,,,,,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"65be854b-7596-4fd7-b521-084e8929d65f","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03389","1","ok","sapling","No longer qualifies",,,"noChange",1.3,,,,,,"Mostly shaded",,1.1,10,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"a4ed15d0-f821-46e8-887c-f7e31b278867","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00758","1","ok","small tree","Live",1.7,130,"noChange",2.8,,,,1.2,1.1,"Mostly shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"fca461e3-f3f5-4569-aa3a-9a80aa612f18","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00044","1","ok","sapling","Live, physically damaged",,,"noChange",1.0,,,,,,"Mostly shaded",,3.9,10,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"72438ccb-4a8b-41d8-97cf-cf27a59fbe70","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00042","1","ok","small shrub","Live, physically damaged",,,"noChange",1.4,,,,1.6,1.2,"Mostly shaded","oblate half-sphere",2.6,10,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"28f6f737-2b2a-468d-be13-3efb5d17fbaa","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03171","1","ok","single bole tree","Live",13.2,140,"noChange",10.1,,,,4.1,3.8,"Partially shaded",,,,,,,,,,,,,,"Stem diameter measurement height from previous.","0000-0002-0205-7735","0000-0003-0562-3007",
"26b418fe-efb0-4254-b88f-127745df3697","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00903","3","ok","small shrub","Standing dead",,,"noChange",,,,,,,,"inverted cone",1.5,10,0.17,0.15,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"862dbdf4-79cd-44d1-b4a6-3bc110308f96","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00273","2","ok","small shrub","Live",,,"noChange",,,,,,,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"63d4f097-7451-4cee-9ae1-2ab0781c7f47","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00784","1","ok","single bole tree","Live",18.3,130,"noChange",10.5,,,,4.3,3.9,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"54df850d-7c13-447d-a775-ea94b0e433ab","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00024","1","ok","single bole tree","Live",79.3,130,"noChange",45.5,,,,9.2,6.7,,,,,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"b1b35ba6-0a5e-4834-8977-7e8e5d20c3b9","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03175",,"ok","single bole tree","Live",14.6,130,"noChange",10.2,,,,4.4,3.2,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"2a2fb155-e098-4f89-aff6-33a1e081c5a4","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00033","1","ok","small tree","Live",1.4,130,"noChange",2.9,,,,1.1,1.0,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"970018ec-7a31-4d7f-a571-d8b9ee47fa9e","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.01855","1","ok","single bole tree","Live",13.8,130,"noChange",11.5,,,,4.6,4.2,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"f5abf88d-3056-4252-9845-e04cd0ac8a5d","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00779","1","ok","single bole tree","Live",20.0,130,"noChange",12.4,,,,4.7,4.5,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"54a173aa-3477-4095-9ac8-b6b5a6f737e5","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.07470","1","ok","small shrub","Live",,,"noChange",1.8,,,,2.5,0.3,"Partially shaded","oblate half-sphere",1.2,10,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"9b474f15-cf4b-4b9a-87a5-b5cbd5aaf644","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.07192A","2","ok","multi-bole tree","Live",4.9,166,"noChange",9.3,,,,,,,,,,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"f09cc7ec-7dc8-4685-83af-bb99284a2237","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03082","1","ok","sapling","Live",,,"noChange",2.1,,,,,,"Full shade",,1.9,10,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"c0eaac8c-8463-4944-836a-c465b05c4687","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00037","1","ok","sapling","Live",,,"noChange",1.2,,,,,,"Partially shaded",,1.4,10,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"4634e70d-33cb-457a-a8f9-3f8c034faec3","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00904","1","ok","small tree","Live",1.4,130,"noChange",3.1,,,,1.7,1.6,"Mostly shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"3eb8e197-af17-40bf-9ab7-edf7cb2d616c","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.03095","1","ok","single bole tree","Live",13.6,130,"noChange",10.4,,,,4.2,3.7,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"2e0533c5-9ea6-442d-b8c6-469899d89c9e","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00282",,"ok","single bole tree","Live",19.3,130,"noChange",10.6,,,,5.4,5.3,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"e58fc5a9-b980-406a-82c4-91a7b9063c9b","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00790","1","ok","single bole tree","Live",14.5,130,"noChange",10.3,,,,4.2,4.1,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"00b88feb-7b44-494d-b4da-af52d97873eb","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00173","1","ok","small shrub","Standing dead",,,"noChange",0.6,0.2,,,0.7,0.3,"Full shade","ellipsoid or sphere",1.1,10,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"a6e57b03-709b-461e-8dd8-d542ab4cb56b","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03387",,"ok","single bole tree","Live",12.6,130,"noChange",10.3,,,,4.2,3.8,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"732c6990-4f42-43f7-9a55-2c1f0c68164d","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.03586","1","ok","single bole tree","Live",13.1,130,"noChange",7.9,,,,4.0,3.7,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"0cdcd703-1248-4130-9f9f-009a147d3f5d","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00781","1","ok","sapling","Live",,,"noChange",1.8,,,,,,"Full shade",,1.5,10,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"2423cc4b-ae21-4091-b0d6-1c6f14455782","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00054","1","ok","single bole tree","Live",15.1,124,"noChange",11.1,,,,4.9,3.9,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"ddf02b9b-65f0-477b-9e9b-f9ec9562ce2e","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00274","1","ok","sapling","Live",,,"noChange",2.5,,,,,,"Mostly shaded",,1.7,10,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"7cbba586-bd81-4812-a56b-6271dab37d2a","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.02593","1","ok","sapling","Standing dead",,,"noChange",1.3,,,,,,"Mostly shaded",,2.1,10,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"10605ac6-785a-42bd-99be-7ab0b5ed1e4e","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.03566","1","ok","single bole tree","Live",13.4,130,"noChange",9.2,,,,4.2,4.1,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"549e7101-f54b-432e-b8f7-b54e9a53c50a","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.01859","2","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",1.4,10,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"28ee755e-a8f5-4f5c-9762-0aa1c4eb391b","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.07193","1","ok","sapling","Live",,,"noChange",1.4,,,,,,"Full shade",,1.2,10,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"b83f9865-b53e-4fc2-95c2-fd78fe2263de","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.09084","1","ok","single bole tree","Live",13.5,130,"noChange",9.7,,,,4.2,3.7,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"aac0e11b-bc3d-4d91-81b8-5df228efed3e","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00768","1","ok","sapling","Live",,,"noChange",2.0,,,,,,"Full shade",,1.2,10,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"40fcfa78-292c-467d-89c1-717bdb88d0f2","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00030","1","ok","single bole tree","Standing dead",136.0,130,"noChange",2.1,,,,1.3,1.3,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"7814b940-a11d-4b9c-846e-b8b44d548fda","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00761",,"ok","single bole tree","Live",11.2,130,"noChange",8.3,,,,3.9,3.5,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"312c007f-f438-48d5-a1b4-e71ed7f71b15","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00903","1","ok","small shrub","Standing dead",,,"noChange",1.9,,,,1.1,0.9,"Full shade","inverted cone",1.3,10,0.17,0.15,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"a80cac0c-f9f5-4588-9a21-757955fdcd6e","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.01837","1","ok","single bole tree","Live",14.5,130,"noChange",10.1,,,,5.0,4.5,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"479c1ee4-8f9e-4db2-bed2-7f20a90a5a27","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03616","1","ok","sapling","Live",,,"noChange",1.8,,,,,,"Mostly shaded",,1.2,10,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"b1fbc77f-545b-44fa-85bd-585a2623417f","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00903","6","ok","small shrub","Standing dead",,,"noChange",,,,,,,,"inverted cone",1.4,10,0.17,0.15,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"3ba7e5bc-a76f-4ca4-a225-38ae8e2a5f84","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.01790","1","ok","small shrub","Live",,,"noChange",0.5,0.2,,,0.5,0.5,"Mostly shaded","ellipsoid or sphere",1.2,10,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"b2ec7c88-9d53-489f-a659-8d66d6cf67ce","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00771","1","ok","small tree","Live",2.6,130,"noChange",4.8,,,,2.6,1.8,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"e8acd88f-dd02-4db8-bd07-57894b4d5822","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.09086","1","ok","single bole tree","Live",11.2,130,"noChange",8.0,,,,3.4,3.3,"Full sun",,,,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"291491c8-c40f-44d7-9a1d-db8f1f16c985","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00907",,"ok","single bole tree","Live",18.5,140,"noChange",11.3,,,,4.9,4.3,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"b933da3b-8133-4352-ab92-c75f0253e6c2","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00277","1","ok","small tree","Live",4.1,130,"noChange",4.0,,,,4.4,3.6,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"95193557-35af-43c4-a5f0-1d7ff89fe079","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00753","1","ok","single bole tree","Live",12.0,135,"protocolChange",11.1,,,,3.4,3.3,"Partially shaded",,,,,,,,,,,,,,"Diameter measurement height changed to 135 cm branch growth. Previously (2019) measured at 157 cm.","0000-0002-0205-7735","0000-0003-0562-3007",
"f0d5242b-baf3-46b5-8e45-70136f878720","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00763","1","ok","small tree","Live",3.3,130,"noChange",5.8,,,,2.6,2.4,"Mostly shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"d74ff790-098b-4e2f-81b0-5f36a3c7880d","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00783","1","ok","small tree","Live",1.4,130,"noChange",4.3,,,,0.6,0.3,"Mostly shaded",,,,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"f8b620f7-2e21-4afe-a32d-1c99a4864aec","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00175","1","ok","single shrub","Live",2.3,130,"noChange",3.6,,,,2.6,2.5,"Partially shaded","columnar",3.0,10,,,,,,,,,,,,"0000-0001-9521-413X","0000-0002-2759-254X",
"ad8913b6-f901-474f-9c24-876c7e2db056","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03621","1","ok","small shrub","Live",,,"noChange",0.4,0.1,,,0.4,0.3,"Partially shaded","ellipsoid or sphere",1.0,10,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"d9c2437d-022c-420b-8d2e-5d5ffa4de8fe","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00767","1","ok","sapling","Live",,,"noChange",2.1,,,,,,"Full shade",,1.4,10,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"3686b30c-f46d-4485-a7a8-908d9077ec0a","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.01680","1","ok","single bole tree","Live",13.2,130,"noChange",9.6,,,,4.2,3.8,"Mostly shaded",,,,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"8639163d-b381-42c6-b121-83585404c08e","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03390","1","ok","sapling","Live",,,"noChange",2.1,,,,,,"Mostly shaded",,1.3,10,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"03055eff-e859-41c6-b90a-6c720465d385","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00755","1","ok","small tree","Live",4.9,130,"noChange",5.5,,,,2.4,2.1,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"3085778a-c2c3-4314-9c6d-3fc710bdc220","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.01852","1","ok","small shrub","Live",,,"noChange",0.7,0.3,,,0.8,0.4,"Mostly shaded","ellipsoid or sphere",1.1,10,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"9d975b44-9542-4959-b5ef-af1b36c9198e","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00283",,"ok","single bole tree","Live",16.9,130,"noChange",9.6,,,,4.9,4.8,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"51561e1d-f4a3-448b-a8e7-ccb41f653e68","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.03587","1","ok","single bole tree","Live",11.4,130,"noChange",12.0,,,,3.7,3.0,"Partially shaded",,,,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"a1f1bc5e-7141-4fcd-a221-27a8fd2dec72","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03611",,"ok","single bole tree","Live",11.3,130,"noChange",9.2,,,,3.4,3.3,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"a613e244-8e0a-455e-bc13-d62a1d881ed9","ABBY_073.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_073","NEON.PLA.D16.ABBY.00035","1","ok","small tree","Live",9.0,130,"noChange",5.2,,,,3.3,3.2,"Full sun",,,,,,,,,,,,,,,"0000-0001-9713-5304","0000-0002-7203-5072",
"c451217c-80ab-4c7d-9f9b-5e351ba8b6ad","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.05029",,"ok","single bole tree","Live",10.4,130,"noChange",9.0,,,,3.2,3.1,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"99f7e8a4-8080-41dc-8a59-1b9b1dce4382","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.01814","1","ok",,"Lost, fate unknown",,,"noChange",,,,,,,,,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"12b41074-680d-40c1-8afc-2430e2029ec3","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00278","1","tagRemoved",,"No longer qualifies",,,"noChange",,,,,,,,,,,,,,,,,,,,,"No longer rooted in ground","0000-0002-4816-2610","0000-0003-2593-761X",
"b6f674b0-921a-475f-a01c-40b44847e447","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00757","1","ok","small tree","Live",3.6,130,"noChange",6.9,,,,2.6,1.9,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"0e0984f6-b4fa-4e5b-979f-5b0023ca3a9b","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00903","4","ok","small shrub","Standing dead",,,"noChange",,,,,,,,"inverted cone",1.3,10,0.17,0.15,,,,,,,,,,"0000-0002-0205-7735","0000-0003-0562-3007",
"9d2a2e27-da98-4684-af92-c790f60460ba","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.03388",,"ok","single bole tree","Live",13.3,145,"noChange",11.0,,,,4.4,3.8,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
"95ffb4da-3612-4c3d-b525-3c373bfdcb50","ABBY_062.basePlot.vst","2020-09-25","vst_ABBY_2020","D16","ABBY","ABBY_062","NEON.PLA.D16.ABBY.00793",,"ok","single bole tree","Live",12.9,138,"noChange",9.1,,,,3.2,3.1,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-4816-2610","0000-0003-2593-761X",
