COMMON_NAME,GENUS,SPECIESp,TreeSpecies
"chebtui, ebtui",Symplocos,racemosa,SYRA6
turpentine tree,Syncarpia,glomulifera,SYGL
turpentine tree,Syncarpia,spp.,SYNCA
Miracle Berry,Synsepalum,dulcificum,SYDU
walnut spp.,Juglans,spp.,JUGLA
butternut,Juglans,cinerea,JUCI
black walnut,Juglans,nigra,JUNI
northern California black walnut,Juglans,hindsii,JUHI
southern California black walnut,Juglans,californica,JUCA
Texas walnut,Juglans,microcarpa,JUMI
Arizona walnut,Juglans,major,JUMA
sweetgum,Liquidambar,styraciflua,LIST2
yellow-poplar,Liriodendron,tulipifera,LITU
tanoak,Lithocarpus,densiflorus,LIDE3
Osage-orange,Maclura,pomifera,MAPO
magnolia spp.,Magnolia,spp.,MAGNO
cucumbertree,Magnolia,acuminata,MAAC
southern magnolia,Magnolia,grandiflora,MAGR4
sweetbay,Magnolia,virginiana,MAVI2
bigleaf magnolia,Magnolia,macrophylla,MAMA2
mountain or Fraser magnolia,Magnolia,fraseri,MAFR
pyramid magnolia,Magnolia,pyramidata,MAPY
umbrella magnolia,Magnolia,tripetala,MATR
apple spp.,Malus,spp.,MALUS
Oregon crab apple,Malus,fusca,MAFU
southern crab apple,Malus,angustifolia,MAAN3
sweet crab apple,Malus,coronaria,MACO5
prairie crab apple,Malus,ioensis,MAIO
mulberry spp.,Morus,spp.,MORUS
white mulberry,Morus,alba,MOAL
red mulberry,Morus,rubra,MORU2
Texas mulberry,Morus,microphylla,MOMI
black mulberry,Morus,nigra,MONI
tupelo spp.,Nyssa,spp.,NYSSA
water tupelo,Nyssa,aquatica,NYAQ2
Ogeechee tupelo,Nyssa,ogeche,NYOG
blackgum,Nyssa,sylvatica,NYSY
swamp tupelo,Nyssa,biflora,NYBI
eastern hophornbeam,Ostrya,virginiana,OSVI
sourwood,Oxydendrum,arboreum,OXAR
"paulownia, empress-tree",Paulownia,tomentosa,PATO2
Maytenus palauica,Maytenus,palauica,MAPA28
kesiamel,Osmoxylon,truncatum,OSTR
bay spp.,Persea,spp.,PERSE
redbay,Persea,borbonia,PEBO
"water-elm, planertree",Planera,aquatica,PLAQ
sycamore spp.,Platanus,spp.,PLATA
California sycamore,Platanus,racemosa,PLRA
American sycamore,Platanus,occidentalis,PLOC
Arizona sycamore,Platanus,wrightii,PLWR2
cottonwood and poplar spp.,Populus,spp.,POPUL
balsam poplar,Populus,balsamifera,POBA2
eastern cottonwood,Populus,deltoides,PODE3
bigtooth aspen,Populus,grandidentata,POGR4
peacocksplume,Falcataria,spp.,FALCA2
false coffee,Faramea,occidentalis,FAOC
Jamaican cherry fig,Ficus,americana,FIAM
Indian banyan,Ficus,benghalensis,FIBE2
weeping fig,Ficus,benjamina,FIBE
edible fig,Ficus,carica,FICA
brown-woolly fig,Ficus,drupacea,FIDR3
Indian rubberplant,Ficus,elastica,FIEL
mati,Ficus,godeffroyi,FIGO
Ficus lutea,Ficus,lutea,FILU
fiddleleaf fig,Ficus,lyrata,FILY
Chinese banyan,Ficus,microcarpa,FIMI2
tibig,Ficus,nota,FINO3
aoa,Ficus,obliqua,FIOB3
amate,Ficus,obtusifolia,FIOB
aoa,Ficus,prolixa,FIPR2
peepul tree,Ficus,religiosa,FIRE3
Port Jackson fig,Ficus,rubiginosa,FIRU4
"lulk, banyan",Ficus,saffordii,FISA
mati vao,Ficus,scabra,FISC3
fig,Ficus,spp.,FICUS
jaguey,Ficus,stahlii,FIST
sycamore fig,Ficus,sycomorus,FISY2
Chinese banyan,Ficus,thonningii,FITH2
mati,Ficus,tinctoria,FITI2
jaguey blanco,Ficus,trigonata,FITR
mati,Ficus,uniauriculata,FIUN
higo,Ficus,virens,FIVI3
Finschia chloroxantha,Finschia,chloroxantha,FICH
burrdaisytree,Fitchia,speciosa,FISP3
governor's plum,Flacourtia,indica,FLIN
batoko plum,Flacourtia,inermis,FLIN3
filimoto,Flacourtia,rukam,FLRU2
Queensland maple,Flindersia,brayleyana,FLBR
Flueggea acidoton,Flueggea,acidoton,FLAC
poumuli,Flueggea,flexuosa,FLFL4
mehamehame,Flueggea,neowawraea,FLNE
bushweed,Flueggea,spp.,FLUEG
inkbush,Forestiera,eggersiana,FOEG
caca ravet,Forestiera,rhamnifolia,FORH
Florida swampprivet,Forestiera,segregata,FOSE
oval kumquat,Fortunella,margarita,FOMA2
California buckthorn,Frangula,californica,FRCA12
West Indian buckthorn,Frangula,sphaerosperma,FRSPL
shamel ash,Fraxinus,uhdei,FRUH
Bolivian fuchsia,Fuchsia,boliviana,FUBO
shrubby fuchsia,Fuchsia,paniculata,FUPA2
fuchsia,Fuchsia,spp.,FUCHS
silkrubber,Funtumia,elastica,FUEL
avocado,Persea,americana,PEAM3
Gourka,Garcinia,dulcis,GADU3
lemon saptree,Garcinia,hessii,GAHE5
mangosteen,Garcinia,mangostana,GAMA10
tilol,Garcinia,matsudai,GAMA8
none,Garcinia,myrtifolia,GAMY
konpuil,Garcinia,ponapensis,GAPO4
palo de cruz,Garcinia,portoricensis,GAPO2
tilol,Garcinia,rumiyo,GARU3
Garcinia,Garcinia,spp.,GARCI
Garcinia xanthochymus,Garcinia,xanthochymus,GAXA
forest gardenia,Gardenia,brighamii,GABR
Oahu gardenia,Gardenia,mannii,GAMA6
Remys gardenia,Gardenia,remyi,GARE
asi,Syzygium,brevifolium,SYBR3
popona,Syzygium,carolinense,SYCA4
asi vai,Syzygium,clusiifolium,SYCL
asi vai,Syzygium,dealatum,SYDE3
asi,Syzygium,inophylloides,SYIN2
Syzygium jambos,Syzygium,jambos,SYJA
Malaysian apple,Syzygium,malaccense,SYMA2
popona,Syzygium,richii,SYRI3
nonu vao,Syzygium,samarangense,SYSA3
fena vao,Syzygium,samoense,SYSA6
ohia ha,Syzygium,sandwicense,SYSA
syzygium,Syzygium,spp.,SYZYG
roble amarillo,Tabebuia,chrysantha,TACH3
primavera,Tabebuia,donnell-smithii,TADO2
roble cimarron,Tabebuia,haemantha,TAHA
white cedar,Tabebuia,heterophylla,TAHE
pink tabebuia,Tabebuia,pallida,TAPA10
roble de sierra,Tabebuia,rigida,TARI
pink trumpet-tree,Tabebuia,rosea,TARO
roble colorado,Tabebuia,schumanniana,TASC2
trumpet-tree,Tabebuia,spp.,TABEB
Tabernaemontana aurantiaca,Tabernaemontana,aurantiaca,TAAU3
milkwood,Tabernaemontana,citrifolia,TACI
Pulu,Tabernaemontana,pandacaqui,TAPA13
Tabernaemontana rotensis,Tabernaemontana,rotensis,TARO3
Athel tamarisk,Tamarix,aphylla,TAAP
manunu,Tarenna,sambucina,TASA2
chestnutleaf trumpetbush,Tecoma,castanifolia,TECA9
yellow trumpetbush,Tecoma,stans,TEST
teak,Tectona,grandis,TEGR
tectona,Tectona,spp.,TECTO
tropical almond,Terminalia,spp.,TERMI
kehma,Terminalia,carolinensis,TECA16
troipical almond,Terminalia,catappa,TECA
"esemiich, chesemiich",Terminalia,crassipes,TECR3
"esemiich, chesemiich",Terminalia,edulis,TEED
Ivory Coast almond,Terminalia,ivorensis,TEIV2
tropical almond,Terminalia,kaernbachii,TEKA4
East Indian almond,Terminalia,myriocarpa,TEMY
Peruvian almond,Terminalia,oblonga,TEOB
malili,Terminalia,richii,TERI3
talie,Terminalia,samoensis,TESA2
superb terminalia,Terminalia,superba,TESU2
saintedwood,Ternstroemia,heptasepala,TEHE3
palo colorado,Ternstroemia,luquillensis,TELU2
copey vera,Ternstroemia,peduncularis,TEPE
mamey de cura,Ternstroemia,stahlii,TEST3
el yunque colorado,Ternstroemia,subsessilis,TESU
masa,Tetragastris,balsamifera,TEBA
Flynnsohe,Tetraplasandra,flynnii,TEFL5
Koolau Rangeohe,Tetraplasandra,gymnocarpa,TEGY
Hawaii ohe,Tetraplasandra,hawaiensis,TEHA2
ohe ohe,Tetraplasandra,kavaiensis,TEKA3
ohe mauka,Tetraplasandra,oahuensis,TEOA
tetraplasandra,Tetraplasandra,spp.,TETRA11
Mt. Waialeale ohe,Tetraplasandra,waialealae,TEWA
ohe kiko ola,Tetraplasandra,waimeae,TEWA3
stinkingfish,Tetrazygia,angustifolia,TEAN2
Florida clover ash,Tetrazygia,bicolor,TEBI
Puerto Rico clover ash,Tetrazygia,biflora,TEBI2
krekre,Tetrazygia,elaeagnoides,TEEL
cenizo,Tetrazygia,urbanii,TEUR
cacao,Theobroma,cacao,THCA
swamp cottonwood,Populus,heterophylla,POHE4
plains cottonwood,Populus,deltoides,PODEM
quaking aspen,Populus,tremuloides,POTR5
black cottonwood,Populus,balsamifera,POBAT
Fremont cottonwood,Populus,fremontii,POFR2
narrowleaf cottonwood,Populus,angustifolia,POAN3
silver poplar,Populus,alba,POAL7
Lombardy poplar,Populus,nigra,PONI
mesquite spp.,Prosopis,spp.,PROSO
honey mesquite,Prosopis,glandulosa,PRGL2
velvet mesquite,Prosopis,velutina,PRVE
screwbean mesquite,Prosopis,pubescens,PRPU
cherry and plum spp.,Prunus,spp.,PRUNU
pin cherry,Prunus,pensylvanica,PRPE2
black cherry,Prunus,serotina,PRSE2
chokecherry,Prunus,virginiana,PRVI
peach,Prunus,persica,PRPE3
Canada plum,Prunus,nigra,PRNI
American plum,Prunus,americana,PRAM
bitter cherry,Prunus,emarginata,PREM
Allegheny plum,Prunus,alleghaniensis,PRAL5
Chickasaw plum,Prunus,angustifolia,PRAN3
"sweet cherry, domesticated",Prunus,avium,PRAV
"sour cherry, domesticated",Prunus,cerasus,PRCE
"European plum, domesticated",Prunus,domestica,PRDO
"Mahaleb cherry, domesticated",Prunus,mahaleb,PRMA
oak spp,Quercus,spp.,QUERC
California live oak,Quercus,agrifolia,QUAG
white oak,Quercus,alba,QUAL
Arizona white oak,Quercus,arizonica,QUAR
swamp white oak,Quercus,bicolor,QUBI
canyon live oak,Quercus,chrysolepis,QUCH2
scarlet oak,Quercus,coccinea,QUCO2
blue oak,Quercus,douglasii,QUDO
Durand oak,Quercus,sinuata,QUSIS
northern pin oak,Quercus,ellipsoidalis,QUEL
Emory oak,Quercus,emoryi,QUEM
Engelmann oak,Quercus,engelmannii,QUEN
southern red oak,Quercus,falcata,QUFA
cherrybark oak,Quercus,pagoda,QUPA5
Gambel oak,Quercus,gambelii,QUGA
Oregon white oak,Quercus,garryana,QUGA4
scrub oak,Quercus,ilicifolia,QUIL
shingle oak,Quercus,imbricaria,QUIM
California black oak,Quercus,kelloggii,QUKE
turkey oak,Quercus,laevis,QULA2
laurel oak,Quercus,laurifolia,QULA3
California white oak,Quercus,lobata,QULO
gardenia,Gardenia,spp.,GARDE
Tahitian gardenia,Gardenia,taitensis,GATA
manuai vivao,Garuga,floribunda,GAFL8
llume,Gaussia,attenuata,GAAT
taipoipo,Geniostoma,rupestre,GERU3
jagua,Genipa,americana,GEAM
arbol de Navidad,Gesneria,pedunculosa,GEPE4
bastard gregre,Ginoria,rohrii,GIRO
Gironniera celtidifolia,Gironniera,celtidifolia,GICE2
quickstick,Gliricidia,sepium,GLSE2
masame,Glochidion,cuspidatum,GLCU
Glochidion marianum,Glochidion,marianum,GLMA9
masame,Glochidion,ramiflorum,GLRA4
Glochidion,Glochidion,spp.,GLOCH
belau,Gmelina,elliptica,GMEL
blacheos,Gmelina,palawensis,GMPA
Gmelina,Gmelina,spp.,GMELI
Gnetum gnemon,Gnetum,gnemon,GNGN
mata buey,Goetzea,elegans,GOEL
grand merisier,Gomidesia,lindeniana,GOLI
Goniothalamus carolinensis,Goniothalamus,carolinensis,GOCA2
Creole cotton,Gossypium,barbadense,GOBA
Gossypium hirsutum,Gossypium,hirsutum,GOHIH2
Graffenrieda ottoschulzii,Graffenrieda,ottoschulzii,GROT
kahiliflower,Grevillea,banksii,GRBA
silkoak,Grevillea,robusta,GRRO
grevillea,Grevillea,spp.,GREVI
fau ui,Grewia,crenata,GRCR4
lignum-vitae,Guaiacum,officinale,GUOF
holywood,Guajacum,sanctum,GUSA
paipai,Guamia,mariannae,GUMA4
black mampoo,Guapira,fragrans,GUFR
corcho prieto,Guapira,obtusata,GUOB
alligatorwood,Guarea,glabra,GUGL3
American muskwood,Guarea,guidonia,GUGU
haya minga,Guatteria,blainii,GUBL
haya blanca,Guatteria,caribaea,GUCA2
bastardcedar,Guazuma,ulmifolia,GUUL
hammock velvetseed,Guettarda,elliptica,GUEL
frogwood,Guettarda,krugii,GUKR
cucubano de vieques,Guettarda,odorata,GUOD
cucubano,Guettarda,ovalifolia,GUOV
roseta,Guettarda,pungens,GUPU
wild guave,Guettarda,scabra,GUSC
puapua,Guettarda,speciosa,GUSP3
cucubano de monte,Guettarda,valenzuelana,GUVA
rhoifolia,Guioa,rhoifolia,GURH
Guioa,Guioa,spp.,GUIOA
"bochela uchererak, uch",Gulubia,palauensis,GUPA
West Indian false box,Gyminda,latifolia,GYLA
oysterwood,Gymnanthes,lucida,GYLU
vilivili,Gyrocarpus,americanus,GYAM2
bloodwoodtree,Haematoxylum,campechianum,HACA2
palo de hueso,Haenianthus,salicifolius,HASAO
scarletbush,Hamelia,patens,HAPA3
Haplolobus floribundus,Haplolobus,floribundus,HAFL
fa`aili,Harpullia,arborea,HAAR4
false locust,Hebestigma,cubense,HECU10
denticulata,Hedycarya,denticulata,HEDE14
Hedycarya,Hedycarya,spp.,HEDYC2
maga,Thespesia,grandiflora,THGR2
Portia tree,Thespesia,populnea,THPO3
thespesia,Thespesia,spp.,THESP
luckynut,Thevetia,peruviana,THPE3
ceboruquillo,Thouinia,striata,THST2
Puerto Rico ceboruquillo,Thouinia,striata,THSTP
Brazilian glorytree,Tibouchina,granulosa,TIGR3
glorytree,Tibouchina,spp.,TIBOU
princess-flower,Tibouchina,urvilleana,TIUR
Timonius corymbosus,Timonius,corymbosus,TICO7
Timonius mollis,Timonius,mollis,TIMO4
Timonius,Timonius,spp.,TIMON
Timonius subauritus,Timonius,subauritus,TISU3
Timonius timon,Timonius,timon,TITI
redcedar,Toona,spp.,TOONA
Australian redcedar,Toona,ciliata,TOCI
boje,Torralbasia,cuneifolia,TOCU
olona,Touchardia,latifolia,TOLA
touchardia,Touchardia,spp.,TOUCH
velvetleaf soldierbush,Tournefortia,argentea,TOAR2
cold withe,Tournefortia,filiflora,TOFI
soldierbush,Tournefortia,spp.,TOURN
magele,Trema,cannabina,TRCA33
Lamarck's trema,Trema,lamarckianum,TRLA2
Jamaican nettletree,Trema,micranthum,TRMI2
oriental trema,Trema,orientalis,TROR
trema,Trema,spp.,TREMA
broomstick,Trichilia,hirta,TRHI3
gaita,Trichilia,pallida,TRPA2
bariaco,Trichilia,triacantha,TRTR8
Trichospermum ikutai,Trichospermum,ikutai,TRIK
"elsau, oleiulakersus",Trichospermum,ledermannii,TRLE8
maouli,Trichospermum,richii,TRRI9
limeberry,Triphasia,trifolia,TRTR7
Triplaris spp.,Triplaris,spp.,TRIPL5
ant tree,Triplaris,cumingiana,TRCU6
faia,Tristiropsis,obtusangula,TROB7
white ramoon,Trophis,racemosa,TRRA4
muttonwood,Turpinia,occidentalis,TUOC
scratchbush,Urera,baccifera,URBA
flameberry,Urera,caracasana,URCA2
ortiga,Urera,chlorocarpa,URCH2
hopue,Urera,glabra,URGL
opuhe,Urera,kaalae,URKA
urera,Urera,spp.,URERA
voa vanga,Vangueria,madagascariensis,VAMA5
Manila palm,Veitchia,merrillii,VEME3
mu oil tree,Vernicia,montana,VEMO3
vernicia,Vernicia,spp.,VERNI
lilac chastetree,Vitex,agnus-castus,VIAG
"bars, beokel",Vitex,cofassus,VICO17
higuerillo,Vitex,divaricata,VIDI2
smallflower chastetree,Vitex,parviflora,VIPA6
chastetree,Vitex,spp.,VITEX
simpleleaf chastetree,Vitex,trifolia,VITR7
Wallenia lamarckiana,Wallenia,lamarckiana,WALA
ateate,Wedelia,biflora,WEBI
Weinmannia affinis,Weinmannia,affinis,WEAF
bastard briziletto,Weinmannia,pinnata,WEPI
alpine false ohelo,Wikstroemia,bicornuta,WIBI
forest false ohelo,Wikstroemia,furcata,WIFU
montane false ohelo,Wikstroemia,monticola,WIMO
Oahu false ohelo,Wikstroemia,oahuensis,WIOA
Hawaii false ohelo,Wikstroemia,phillyreifolia,WIPH2
Kohala false ohelo,Wikstroemia,pulcherrima,WIPU
variableleaf false ohelo,Wikstroemia,sandwicensis,WISA
overcup oak,Quercus,lyrata,QULY
bur oak,Quercus,macrocarpa,QUMA2
blackjack oak,Quercus,marilandica,QUMA3
swamp chestnut oak,Quercus,michauxii,QUMI
chinkapin oak,Quercus,muehlenbergii,QUMU
water oak,Quercus,nigra,QUNI
Texas red oak,Quercus,texana,QUTE
Mexican blue oak,Quercus,oblongifolia,QUOB
pin oak,Quercus,palustris,QUPA2
willow oak,Quercus,phellos,QUPH
chestnut oak,Quercus,prinus,QUPR2
northern red oak,Quercus,rubra,QURU
Shumard oak,Quercus,shumardii,QUSH
post oak,Quercus,stellata,QUST
Delta post oak,Quercus,similis,QUSI2
black oak,Quercus,velutina,QUVE
live oak,Quercus,virginiana,QUVI
interior live oak,Quercus,wislizeni,QUWI2
dwarf post oak,Quercus,margarettiae,QUMA6
dwarf live oak,Quercus,minima,QUMI2
bluejack oak,Quercus,incana,QUIN
silverleaf oak,Quercus,hypoleucoides,QUHY
Oglethorpe oak,Quercus,oglethorpensis,QUOG
dwarf chinkapin oak,Quercus,prinoides,QUPR
gray oak,Quercus,grisea,QUGR3
netleaf oak,Quercus,rugosa,QURU4
Chisos oak,Quercus,graciliformis,QUGR
sea torchwood,Amyris,elemifera,AMEL
pond-apple,Annona,glabra,ANGL4
gumbo limbo,Bursera,simaruba,BUSI
sheoak spp.,Casuarina,spp.,CASUA
gray sheoak,Casuarina,glauca,CAGL11
belah,Casuarina,lepidophloia,CALE28
camphortree,Cinnamomum,camphora,CICA
Florida fiddlewood,Citharexylum,fruticosum,CIFR
citrus spp.,Citrus,spp.,CITRU2
"tietongue, pigeon-plum",Coccoloba,diversifolia,CODI8
soldierwood,Colubrina,elliptica,COEL2
largeleaf geigertree,Cordia,sebestena,COSE2
carrotwood,Cupaniopsis,anacardioides,CUAN4
Bluewood,Condalia,hookeri,COHO
Blackbead ebony,Ebenopsis,ebano,EBEB
Great leucaene,Leucaena,pulverulenta,LEPU3
Texas sophora,Sophora,affinis,SOAF
red stopper,Eugenia,rhombea,EURH
"butterbough, inkwood",Exothea,paniculata,EXPA
Florida strangler fig,Ficus,aurea,FIAU
"wild banyantree, shortleaf fig",Ficus,citrifolia,FICI
"beeftree, longleaf blolly",Guapira,discolor,GUDI
cigarbush,Hedyosmum,arborescens,HEAR
Fosbergs starviolet,Hedyotis,fosbergii,HEFO5
manono,Hedyotis,hillebrandii,HEHI8
starviolet,Hedyotis,spp.,HEDYO2
variable starviolet,Hedyotis,terminalis,HETE21
screwtree,Helicteres,jamaicensis,HEJA
white moho,Heliocarpus,popayanensis,HEPO4
heliocarpus,Heliocarpus,spp.,HELIO
camasey peludo,Henriettea,fascicularis,HEFA5
MacFadyen's camasey,Henriettea,macfadyenii,HEMA11
thinleaf camasey,Henriettea,membranifolia,HEME5
jusillo,Henriettea,squamulosum,HESQ
ufa,Heritiera,littoralis,HELI9
ufa halemtano,Heritiera,longipetiolata,HELO12
Heritiera,Heritiera,spp.,HERIT2
pipi,Hernandia,moerenhoutiana,HEMO13
"pua, Chinese lantern tree",Hernandia,nymphaeifolia,HENY
Hernandia ovigera,Hernandia,ovigera,HEOV4
mago,Hernandia,sonora,HESO
Hernandia,Hernandia,spp.,HERNA
Lanai island-aster,Hesperomannia,arborescens,HEAR9
Maui island-aster,Hesperomannia,arbuscula,HEAR10
Kauai island-aster,Hesperomannia,lydgatei,HELY
island-aster,Hesperomannia,spp.,HESPE8
toyon,Heteromeles,arbutifolia,HEAR5
toyon,Heteromeles,spp.,HETER5
palma brava,Heterospathe,elata,HEEL9
para rubber tree,Hevea,brasiliensis,HEBR8
hau kuahiwi,Hibiscadelphus,bombycinus,HIBO2
lava hau kuahiwi,Hibiscadelphus,crucibracteatus,HICR
